rules,support,confidence,lift,count
"{Dell KM117 Wireless Keyboard & Mouse,iPhone Charger Cable} => {Apple MacBook Air}",0.002033554,0.952380952,6.122004357,20
"{Acer Aspire,ASUS Chromebook,HP Laptop} => {ViewSonic Monitor}",0.002236909,0.647058824,5.865275142,22
"{Acer Aspire,Epson Printer,HP Laptop} => {ViewSonic Monitor}",0.002135231,0.636363636,5.768328446,21
"{HP Black & Tri-color Ink,HP Laptop,iMac} => {ViewSonic Monitor}",0.00264362,0.619047619,5.611367127,26
"{ASUS Chromebook,CYBERPOWER Gamer Desktop,Dell Desktop} => {ViewSonic Monitor}",0.002135231,0.617647059,5.598671727,21
"{ASUS Chromebook,Dell Desktop,HP Laptop,iMac} => {ViewSonic Monitor}",0.002135231,0.617647059,5.598671727,21
"{ASUS Chromebook,Dell Desktop,HP Laptop} => {ViewSonic Monitor}",0.003558719,0.614035088,5.565930956,35
"{Apple Earpods,ASUS Chromebook,HP Laptop} => {ViewSonic Monitor}",0.002135231,0.6,5.438709677,21
"{HP Monitor,Koss Home Headphones} => {Lenovo Desktop Computer}",0.002135231,0.777777778,5.253739316,21
"{Apple Magic Keyboard,ASUS 2 Monitor,iMac,Lenovo Desktop Computer} => {Dell Desktop}",0.002033554,0.666666667,4.974709155,20
"{Acer Aspire,HP Laptop,Lenovo Desktop Computer,ViewSonic Monitor} => {Dell Desktop}",0.002033554,0.666666667,4.974709155,20
"{Belkin Mouse Pad,Rii LED Gaming Keyboard & Mouse Combo} => {Dell Desktop}",0.002440264,0.648648649,4.840257556,24
"{Acer Desktop,HP Laptop,HP Monitor,iMac} => {Lenovo Desktop Computer}",0.002236909,0.709677419,4.793734491,22
"{Acer Aspire,Dell Desktop,iMac,ViewSonic Monitor} => {HP Laptop}",0.003762074,0.902439024,4.649286435,37
"{Acer Aspire,HP Laptop,iMac,ViewSonic Monitor} => {Dell Desktop}",0.003762074,0.606557377,4.526169805,37
"{HP Laptop,iMac,Logitech MK270 Wireless Keyboard and Mouse Combo} => {Dell Desktop}",0.002338587,0.605263158,4.516512259,23
"{ASUS Monitor,HP Laptop,iMac,Lenovo Desktop Computer} => {Dell Desktop}",0.00264362,0.604651163,4.511945513,26
"{Acer Desktop,Logitech MK270 Wireless Keyboard and Mouse Combo} => {Dell Desktop}",0.002948653,0.604166667,4.508330172,29
"{iMac,Intel Desktop,ViewSonic Monitor} => {Lenovo Desktop Computer}",0.00264362,0.666666667,4.503205128,26
"{Apple Magic Keyboard,ASUS 2 Monitor,Dell Desktop,iMac} => {Lenovo Desktop Computer}",0.002033554,0.666666667,4.503205128,20
"{Computer Game,Dell Desktop,ViewSonic Monitor} => {HP Laptop}",0.00264362,0.866666667,4.464990396,26
"{Koss Home Headphones,Microsoft Office Home and Student 2016} => {Lenovo Desktop Computer}",0.002033554,0.64516129,4.357940447,20
"{Apple Magic Keyboard,Dell Desktop,HP Monitor} => {HP Laptop}",0.002135231,0.84,4.327606076,21
"{Acer Aspire,Computer Game,ViewSonic Monitor} => {HP Laptop}",0.002033554,0.833333333,4.293259997,20
"{Dell Desktop,HP Monitor,iMac,ViewSonic Monitor} => {HP Laptop}",0.002338587,0.821428571,4.231927711,23
"{HP Monitor,iMac,Lenovo Desktop Computer,ViewSonic Monitor} => {HP Laptop}",0.002338587,0.821428571,4.231927711,23
"{Acer Aspire,Dell Desktop,ViewSonic Monitor} => {HP Laptop}",0.005287239,0.8125,4.185928497,52
"{ASUS Monitor,Dell Desktop,HP Laptop,iMac} => {Lenovo Desktop Computer}",0.00264362,0.619047619,4.181547619,26
"{Acer Aspire,Epson Printer,ViewSonic Monitor} => {HP Laptop}",0.002135231,0.807692308,4.161159689,21
"{Apple Magic Keyboard,iMac,Intel Desktop} => {Lenovo Desktop Computer}",0.002440264,0.615384615,4.156804734,24
"{Logitech Desktop MK120 Mouse and keyboard Combo,ViewSonic Monitor} => {HP Laptop}",0.002033554,0.8,4.121529597,20
"{Acer Aspire,Microsoft Office Home and Student 2016,ViewSonic Monitor} => {HP Laptop}",0.002033554,0.8,4.121529597,20
"{Acer Desktop,Dell Desktop,iMac,ViewSonic Monitor} => {HP Laptop}",0.003253686,0.8,4.121529597,32
"{Apple Magic Keyboard,ASUS 2 Monitor,Dell Desktop} => {Lenovo Desktop Computer}",0.002541942,0.609756098,4.118785178,25
"{Dell Desktop,iMac,Logitech MK270 Wireless Keyboard and Mouse Combo} => {HP Laptop}",0.002338587,0.793103448,4.085999169,23
"{Apple Magic Keyboard,ASUS Monitor,Dell Desktop} => {HP Laptop}",0.00305033,0.789473684,4.067298944,30
"{Koss Home Headphones,ViewSonic Monitor} => {Lenovo Desktop Computer}",0.002135231,0.6,4.052884615,21
"{Apple Magic Keyboard,Computer Game,iMac} => {HP Laptop}",0.002846975,0.777777778,4.007042663,28
"{Dell Desktop,HP Monitor,ViewSonic Monitor} => {HP Laptop}",0.003558719,0.777777778,4.007042663,35
"{iMac,Panasonic In-Ear Headphone,ViewSonic Monitor} => {HP Laptop}",0.002440264,0.774193548,3.988577029,24
"{Acer Aspire,Acer Desktop,iMac,ViewSonic Monitor} => {HP Laptop}",0.002033554,0.769230769,3.963009228,20
"{Acer Aspire,HP Black & Tri-color Ink} => {HP Laptop}",0.002236909,0.75862069,3.908347031,22
"{Epson Printer,Lenovo Desktop Computer,ViewSonic Monitor} => {HP Laptop}",0.002135231,0.75,3.863933997,21
"{ASUS Chromebook,Dell Desktop,ViewSonic Monitor} => {HP Laptop}",0.003558719,0.744680851,3.83653021,35
"{Koss Home Headphones,ViewSonic Monitor} => {HP Laptop}",0.00264362,0.742857143,3.827134625,26
"{Apple Magic Keyboard,Koss Home Headphones} => {HP Laptop}",0.002236909,0.733333333,3.778068797,22
"{Acer Desktop,iMac,LG Monitor} => {HP Laptop}",0.002440264,0.727272727,3.746845088,24
"{Acer Desktop,Dell Desktop,Logitech 3-button Mouse} => {HP Laptop}",0.002135231,0.724137931,3.730694894,21
"{Apple MacBook Pro,Dell Desktop,iMac,ViewSonic Monitor} => {HP Laptop}",0.002135231,0.724137931,3.730694894,21
"{Acer Aspire,Acer Desktop,ViewSonic Monitor} => {HP Laptop}",0.003152008,0.720930233,3.714169113,31
"{Computer Game,Dell Desktop,Lenovo Desktop Computer} => {HP Laptop}",0.002338587,0.71875,3.702936747,23
"{Dell Desktop,HP Wireless Mouse,ViewSonic Monitor} => {HP Laptop}",0.002033554,0.714285714,3.67993714,20
"{Mackie CR Speakers,ViewSonic Monitor} => {HP Laptop}",0.002236909,0.709677419,3.65619561,22
"{Acer Aspire,Apple Earpods,ViewSonic Monitor} => {HP Laptop}",0.002236909,0.709677419,3.65619561,22
"{Acer Desktop,HP Monitor,iMac,Lenovo Desktop Computer} => {HP Laptop}",0.002236909,0.709677419,3.65619561,22
"{Acer Aspire,Computer Game,iMac} => {HP Laptop}",0.002440264,0.705882353,3.636643762,24
"{Acer Aspire,Apple Magic Keyboard,ViewSonic Monitor} => {HP Laptop}",0.002440264,0.705882353,3.636643762,24
"{Acer Aspire,iMac,Lenovo Desktop Computer,ViewSonic Monitor} => {HP Laptop}",0.002440264,0.705882353,3.636643762,24
"{Acer Aspire,Computer Game,Dell Desktop} => {HP Laptop}",0.002135231,0.7,3.606338397,21
"{HP Monitor,Lenovo Desktop Computer,ViewSonic Monitor} => {HP Laptop}",0.002846975,0.7,3.606338397,28
"{Acer Aspire,Apple Magic Keyboard,Dell Desktop,iMac} => {HP Laptop}",0.002135231,0.7,3.606338397,21
"{Acer Desktop,HP Black & Tri-color Ink} => {HP Laptop}",0.002338587,0.696969697,3.590726543,23
"{Smart Light Bulb,ViewSonic Monitor} => {HP Laptop}",0.002541942,0.694444444,3.577716664,25
"{Acer Desktop,Acer Monitor,iMac} => {HP Laptop}",0.002541942,0.694444444,3.577716664,25
"{Apple Magic Keyboard,Dell Desktop,ViewSonic Monitor} => {HP Laptop}",0.003863752,0.690909091,3.559502833,38
"{ASUS Monitor,Dell Desktop,ViewSonic Monitor} => {HP Laptop}",0.002948653,0.69047619,3.557272569,29
"{CYBERPOWER Gamer Desktop,Dell Desktop,Lenovo Desktop Computer,ViewSonic Monitor} => {HP Laptop}",0.002033554,0.689655172,3.553042756,20
"{Acer Desktop,Apple Magic Keyboard,Dell Desktop} => {HP Laptop}",0.003152008,0.688888889,3.54909493,31
"{ASUS Chromebook,iMac,Microsoft Office Home and Student 2016} => {HP Laptop}",0.00264362,0.684210526,3.524992418,26
"{Computer Game,iMac,ViewSonic Monitor} => {HP Laptop}",0.004067107,0.677966102,3.492821692,40
"{AOC Monitor,Computer Game} => {HP Laptop}",0.002135231,0.677419355,3.4900049,21
"{ASUS Chromebook,CYBERPOWER Gamer Desktop,Dell Desktop} => {HP Laptop}",0.002338587,0.676470588,3.485116938,23
"{Apple Wireless Keyboard,Dell Desktop,ViewSonic Monitor} => {HP Laptop}",0.002338587,0.676470588,3.485116938,23
"{Acer Aspire,HP Monitor,ViewSonic Monitor} => {HP Laptop}",0.002338587,0.676470588,3.485116938,23
"{Dell Desktop,HP Monitor,iMac,Lenovo Desktop Computer} => {HP Laptop}",0.002338587,0.676470588,3.485116938,23
"{Dell Desktop,HDMI Cable 6ft,iMac} => {HP Laptop}",0.002440264,0.666666667,3.434607997,24
"{Etekcity Power Extension Cord Cable,iMac,Lenovo Desktop Computer} => {HP Laptop}",0.002440264,0.666666667,3.434607997,24
"{Apple Magic Keyboard,Epson Printer,Lenovo Desktop Computer} => {HP Laptop}",0.002236909,0.666666667,3.434607997,22
"{ASUS Monitor,Belkin Mouse Pad,iMac} => {HP Laptop}",0.002033554,0.666666667,3.434607997,20
"{Acer Aspire,Apple Magic Keyboard,Dell Desktop} => {HP Laptop}",0.00264362,0.666666667,3.434607997,26
"{3-Button Mouse,Dell Desktop,ViewSonic Monitor} => {HP Laptop}",0.002033554,0.666666667,3.434607997,20
"{Lenovo Desktop Computer,Microsoft Wireless Desktop Keyboard and Mouse,ViewSonic Monitor} => {HP Laptop}",0.002236909,0.666666667,3.434607997,22
"{ASUS Monitor,Dell Desktop,iMac,Lenovo Desktop Computer} => {HP Laptop}",0.00264362,0.666666667,3.434607997,26
"{Acer Desktop,Dell Desktop,Lenovo Desktop Computer,ViewSonic Monitor} => {HP Laptop}",0.002236909,0.666666667,3.434607997,22
"{Acer Aspire,iMac,ViewSonic Monitor} => {HP Laptop}",0.006202339,0.663043478,3.415941649,61
"{Panasonic In-Ear Headphone,ViewSonic Monitor} => {HP Laptop}",0.003762074,0.660714286,3.403941854,37
"{Cambridge Bluetooth Speaker,ViewSonic Monitor} => {HP Laptop}",0.002541942,0.657894737,3.389415787,25
"{Acer Desktop,Apple Magic Keyboard,ViewSonic Monitor} => {HP Laptop}",0.002338587,0.657142857,3.385542169,23
"{Dell Desktop,Mackie CR Speakers} => {iMac}",0.00264362,0.866666667,3.383750165,26
"{iMac,Logitech MK550 Wireless Wave Keyboard and Mouse Combo,ViewSonic Monitor} => {HP Laptop}",0.002135231,0.65625,3.380942247,21
"{Belkin Mouse Pad,iMac,ViewSonic Monitor} => {HP Laptop}",0.003253686,0.653061224,3.364513956,32
"{Apple Magic Keyboard,Logitech 3-button Mouse} => {HP Laptop}",0.00305033,0.652173913,3.359942606,30
"{Acer Desktop,Dell Desktop,ViewSonic Monitor} => {HP Laptop}",0.004677173,0.647887324,3.337858476,46
"{Acer Aspire,CYBERPOWER Gamer Desktop,ViewSonic Monitor} => {HP Laptop}",0.002236909,0.647058824,3.333590115,22
"{Acer Desktop,HDMI Cable 6ft} => {HP Laptop}",0.003152008,0.645833333,3.327276497,31
"{Apple Magic Keyboard,HP Black & Tri-color Ink} => {HP Laptop}",0.002033554,0.64516129,3.323814191,20
"{Koss Home Headphones,Microsoft Office Home and Student 2016} => {HP Laptop}",0.002033554,0.64516129,3.323814191,20
"{Apple Magic Keyboard,Computer Game,ViewSonic Monitor} => {HP Laptop}",0.002033554,0.64516129,3.323814191,20
"{Computer Game,Epson Printer} => {HP Laptop}",0.002948653,0.644444444,3.320121064,29
"{Acer Desktop,iMac,Lenovo Desktop Computer,ViewSonic Monitor} => {HP Laptop}",0.002948653,0.644444444,3.320121064,29